EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
37,1,True,36,1,.\System Volume Information,$CBT2,,4096,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2020-12-04 13:33:12.0803537,,2020-12-04 13:33:12.0803537,,2020-12-04 13:33:12.0803537,,2020-12-04 13:33:12.0803537,,0,1073563,262,,,
38,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2020-12-04 13:33:12.1363544,,2020-12-04 13:33:12.1383546,2020-12-04 13:33:12.1363544,2020-12-04 13:33:12.1383546,2020-12-04 13:33:12.1363544,2020-12-13 14:27:05.3707049,2020-12-04 13:33:12.1363544,0,2115817,263,,,
39,1,True,11,11,.\$Extend,$UsnJrnl,,47864,1,,False,True,False,False,False,False,Hidden|System|SparseFile,Posix,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,0,2187725,257,,,
39,1,True,11,11,.\$Extend,$UsnJrnl:$J,,47864,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,0,2187725,257,,,
39,1,True,11,11,.\$Extend,$UsnJrnl:$Max,,32,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,2020-12-04 13:33:14.8985406,,0,2187725,257,,,
40,1,True,36,1,.\System Volume Information,ClientRecoveryPasswordRotation,,0,1,,True,False,False,False,False,False,None,Posix,2020-12-04 13:37:09.6280599,,2020-12-04 13:37:09.6280599,,2020-12-04 13:37:09.6310618,2020-12-04 13:37:09.6280599,2020-12-05 15:42:41.0034502,2020-12-04 13:37:09.6280599,584,1092126,265,,,
41,1,True,36,1,.\System Volume Information,AadRecoveryPasswordDelete,,0,1,,True,False,False,False,False,False,None,Posix,2020-12-04 13:37:09.6320618,,2020-12-04 13:37:09.6320618,,2020-12-04 13:37:09.6320618,,2020-12-05 15:42:41.0024478,2020-12-04 13:37:09.6320618,816,1086783,264,,,
42,1,True,36,1,.\System Volume Information,IndexerVolumeGuid,,76,1,,False,False,False,False,False,False,Archive,Posix,2020-12-04 13:37:09.8340594,,2020-12-04 13:37:09.8350606,2020-12-04 13:37:09.8340594,2020-12-04 13:37:09.8350606,2020-12-04 13:37:09.8340594,2020-12-13 14:27:05.6247065,2020-12-04 13:37:09.8340594,1120,2115370,263,,,
43,1,True,36,1,.\System Volume Information,EDP,,0,1,,True,False,False,False,False,False,None,Posix,2020-12-04 16:32:57.6987035,,2020-12-04 16:32:57.7017033,2020-12-04 16:32:57.6987035,2020-12-04 16:32:57.7017033,2020-12-04 16:32:57.6987035,2020-12-05 15:42:41.0044481,2020-12-04 16:32:57.6987035,1288,1092060,261,,,
44,1,True,43,1,.\System Volume Information\EDP,Recovery,,0,1,,True,False,False,False,False,False,None,Posix,2020-12-04 16:32:57.7017033,,2020-12-04 16:32:57.7017033,,2020-12-04 16:32:57.7017033,,2020-12-05 15:42:41.0054464,2020-12-04 16:32:57.7017033,1440,1092026,261,,,
45,1,True,5,5,.,This file was created on Computer A and copied to VHDX.docx,.docx,11819,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:27:43.4627380,2020-12-13 14:28:56.3468960,2020-12-13 14:28:46.6971066,2020-12-13 14:28:56.3468960,2020-12-13 14:28:56.3468960,,2020-12-13 14:53:39.6239436,2020-12-13 14:28:56.3468960,2472,2188084,266,,,
46,1,True,5,5,.,This file was created on Computer A and moved to VHDX.docx,.docx,11999,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:29:03.5831566,2020-12-13 14:29:37.6203722,2020-12-13 14:29:28.0601446,2020-12-13 14:29:37.6203722,2020-12-13 14:29:37.6213718,2020-12-13 14:29:37.6203722,2020-12-13 14:53:39.6239436,2020-12-13 14:29:37.6203722,3184,2188118,266,,,
47,3,True,5,5,.,"This file was created on Computer A, timestomped, then copied to VHDX.txt",.txt,321,1,,False,False,False,True,True,False,Archive,Posix,2018-12-13 14:33:25.0000000,2020-12-13 14:34:05.0594095,2020-12-13 14:40:11.9901061,2020-12-13 14:34:05.0594095,2020-12-13 14:40:11.9901061,2020-12-13 14:34:05.0594095,2020-12-13 14:53:39.6239436,2020-12-13 14:34:05.0594095,22384,2188152,266,170a21cf-3d4f-11eb-9a81-9c5c8ebbb369,,
48,2,True,5,5,.,"This file was created on Computer A, copied to VHDX, and edited within the VHDX.docx",.docx,11886,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:29:44.2967054,,2020-12-13 14:33:45.9287608,,2020-12-13 14:33:45.9627605,2020-12-13 14:33:45.9487600,2020-12-13 14:53:39.6249461,2020-12-13 14:33:45.9487600,11888,2188186,266,170a211d-3d4f-11eb-9a81-9c5c8ebbb369,,
49,2,True,5,5,.,"This file was created on Computer A, copied to VHDX ! and the filename was edited after the special character.txt",.txt,0,1,,False,False,False,False,False,False,Archive,Posix,2020-12-13 14:34:13.4157317,,2020-12-13 14:34:13.4157317,,2020-12-13 14:34:50.3595963,2020-12-13 14:34:28.3853768,2020-12-13 14:34:13.4157317,,13904,2133647,266,,,
50,1,True,5,5,.,This timestomping screenshot was taken on Computer A and copied to VHDX.jpg,.jpg,17873,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:36:13.7634468,2020-12-13 14:36:33.1907657,2020-12-13 14:36:13.7634468,2020-12-13 14:36:33.1907657,2020-12-13 14:36:33.1917645,2020-12-13 14:36:33.1907657,2020-12-13 14:53:39.6939453,2020-12-13 14:36:33.1907657,16384,2188220,266,,,
51,1,True,5,5,.,"This file was created on Computer A, copied to VHDX, then timestomped.txt",.txt,323,1,,False,False,False,True,True,False,Archive,Posix,2016-12-13 14:33:25.0000000,2020-12-13 14:38:16.5493588,2020-12-13 14:40:12.8394166,2020-12-13 14:38:16.5493588,2020-12-13 14:40:12.8394166,2020-12-13 14:38:16.5493588,2020-12-13 14:53:39.6259439,2020-12-13 14:38:16.5493588,23008,2188254,266,170a2374-3d4f-11eb-9a81-9c5c8ebbb369,,
52,1,True,5,5,.,This timestomping screenshot was taken on Computer A and copied to VHDX 2.jpg,.jpg,17831,1,,False,False,False,True,False,False,Archive,Posix,2020-12-13 14:39:42.0240382,2020-12-13 14:39:59.7166425,2020-12-13 14:39:42.0240382,2020-12-13 14:39:59.7166425,2020-12-13 14:39:59.7166425,,2020-12-13 14:53:39.6939453,2020-12-13 14:39:59.7166425,21128,2188296,266,,,
