EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,2021-01-01 12:41:50.4535345,,0,2639197,258,,,
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:41:50.4555307,,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4555307,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4555307,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4555307,352,1076804,259,,,
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:41:50.4575308,,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4575308,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4575308,2021-01-01 12:42:21.0132504,2021-01-01 12:41:50.4575308,0,1076666,260,,,
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,1048576,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:41:50.4585562,,2021-01-01 12:41:50.4585562,,2021-01-01 12:41:50.4585562,,2021-01-01 12:41:50.4585562,,0,1072430,260,,,
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2021-01-01 12:41:50.4665293,,2021-01-01 12:45:31.4359627,2021-01-01 12:41:50.4665293,2021-01-01 12:45:31.4359627,2021-01-01 12:41:50.4665293,2021-01-01 12:46:37.6855906,2021-01-01 12:41:50.4665293,552,2642096,261,,,
37,1,True,36,1,.\System Volume Information,$CBT2,,4096,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2021-01-01 12:41:50.4665293,,2021-01-01 12:41:50.4665293,,2021-01-01 12:41:50.4665293,,2021-01-01 12:42:21.0092501,2021-01-01 12:41:50.4665293,0,1076886,262,,,
38,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:41:50.4705318,,2021-01-01 12:41:50.4725334,2021-01-01 12:41:50.4705318,2021-01-01 12:41:50.4725334,2021-01-01 12:41:50.4705318,2021-01-01 12:45:31.4249634,2021-01-01 12:41:50.4705318,0,2641246,263,,,
39,1,True,36,1,.\System Volume Information,IndexerVolumeGuid,,76,1,,False,False,False,False,False,False,Archive,Posix,2021-01-01 12:41:53.7569147,,2021-01-01 12:41:53.7569147,,2021-01-01 12:41:53.7569147,,2021-01-01 12:45:31.7239629,2021-01-01 12:41:53.7569147,0,2641280,263,,,
40,1,True,11,11,.\$Extend,$UsnJrnl,,1368,1,,False,True,False,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,0,2641112,257,,,
40,1,True,11,11,.\$Extend,$UsnJrnl:$J,,1368,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,0,2641112,257,,,
40,1,True,11,11,.\$Extend,$UsnJrnl:$Max,,32,1,,False,False,True,False,False,False,Hidden|System|SparseFile,Posix,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,2021-01-01 12:41:56.5419027,,0,2641112,257,,,
41,1,True,36,1,.\System Volume Information,ClientRecoveryPasswordRotation,,0,1,,True,False,False,False,False,False,None,Posix,2021-01-01 12:45:31.4349632,,2021-01-01 12:45:31.4349632,,2021-01-01 12:45:31.4359627,2021-01-01 12:45:31.4349632,2021-01-01 12:45:31.4359627,2021-01-01 12:45:31.4349632,1024,2640851,265,,,
42,1,True,36,1,.\System Volume Information,AadRecoveryPasswordDelete,,0,1,,True,False,False,False,False,False,IsDirectory,Posix,2021-01-01 12:45:31.4359627,,2021-01-01 12:45:31.4359627,,2021-01-01 12:45:31.4359627,,2021-01-01 12:45:31.4359627,,1256,2641131,264,,,
